"arc_length"	"p"
62.7	34657.4
62.775	34493.4
62.85	34329.5
62.925	34165.5
63	34001.6
63.075	33837.6
63.15	33673.7
63.225	33500.6
63.3	33326.1
63.375	33151.5
63.45	32977
63.525	32802.4
63.6	32627.9
63.675	32453.4
63.75	32278.8
63.825	32104.3
63.9	31929.8
63.975	31755.2
64.05	31580.7
64.125	31406.2
64.2	31231.7
64.275	31057.1
64.35	30882.6
64.425	30708
64.5	30533.5
64.575	30359
64.65	30183
64.725	29997.8
64.8	29812.5
64.875	29627.3
64.95	29442
65.025	29256.8
65.1	29071.5
65.175	28886.3
65.25	28701
65.325	28515.8
65.4	28330.5
65.475	28145.3
65.55	27960
65.625	27774.8
65.7	27589.5
65.775	27404.3
65.85	27219
65.925	27033.8
66	26848.5
66.075	26663.3
66.15	26473.7
66.225	26277.6
66.3	26081.4
66.375	25885.3
66.45	25689.2
66.525	25493.1
66.6	25297
66.675	25100.9
66.75	24904.8
66.825	24708.7
66.9	24512.6
66.975	24316.5
67.05	24120.4
67.125	23924.3
67.2	23728.2
67.275	23532.1
67.35	23336
67.425	23139.9
67.5	22943.8
67.575	22747.7
67.65	22544.2
67.725	22337.1
67.8	22130
67.875	21922.9
67.95	21715.8
68.025	21508.7
68.1	21301.6
68.175	21094.5
68.25	20887.4
68.325	20680.3
68.4	20473.2
68.475	20266.1
68.55	20059
68.625	19851.9
68.7	19644.8
68.775	19437.7
68.85	19230.6
68.925	19023.4
69	18816.3
69.075	18609.3
69.15	18391.7
69.225	18173.5
69.3	17955.2
69.375	17737
69.45	17518.7
69.525	17300.5
69.6	17082.2
69.675	16864
69.75	16645.7
69.825	16427.5
69.9	16209.2
69.975	15991
70.05	15772.7
70.125	15554.5
70.2	15336.2
70.275	15118
70.35	14899.7
70.425	14681.5
70.5	14463.2
70.575	14242.7
70.65	14013.2
70.725	13783.6
70.8	13554
70.875	13324.5
70.95	13095
71.025	12865.4
71.1	12635.8
71.175	12406.3
71.25	12176.7
71.325	11947.2
71.4	11717.6
71.475	11488.1
